TEAM,Odds
Boston Celtics,300
Denver Nuggets,425
Milwaukee Bucks,500
LA Clippers,900
Philadelphia 76ers,1200
Phoenix Suns,1400
Los Angeles Lakers,1500
Oklahoma City Thunder,1800
Minnesota Timberwolves,2000
Miami Heat,3500
Dallas Mavericks,3500
New York Knicks,4000
Sacramento Kings,4000
New Orleans Pelicans,5000
Cleveland Cavaliers,6000
Golden State Warriors,6000
Indiana Pacers,6000
Atlanta Hawks,15000
Orlando Magic,15000
Houston Rockets,20000
Chicago Bulls,30000
Brooklyn Nets,50000
Utah Jazz,50000
Toronto Raptors,50000
Detroit Pistons,100000
Portland Trail Blazers,100000
San Antonio Spurs,100000
Washington Wizards,100000
Memphis Grizzlies,100000
Charlotte Hornets,100000