RANK,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PM
1,Boston Celtics,40,31,9,0.775,48.6,121,43.2,90.4,47.8,16.2,42.7,37.9,18.5,22.9,80.7,10.9,36.5,47.4,26,13,6.5,6.4,4,17.5,19.1,9.8
2,Minnesota Timberwolves,39,28,11,0.718,48.3,113.1,41,84.1,48.8,12.1,31.7,38.3,18.9,24.1,78.7,9.2,34.9,44.2,26,15.4,7.7,5.9,4.7,19.7,20.6,5.8
3,Milwaukee Bucks,40,28,12,0.7,48.4,125,45,89.7,50.2,14.4,37.6,38.3,20.6,26.4,78.1,9.6,34.8,44.4,27,13.2,6.5,5.5,4.5,20.3,20.5,5
4,Oklahoma City Thunder,40,27,13,0.675,48.3,121.9,45,89.2,50.5,13.2,33.8,39.1,18.7,22.2,83.9,8.4,32.8,41.1,27,12.5,8.2,6.4,5.2,20,19.5,8.2
5,Denver Nuggets,42,28,14,0.667,48,116.3,44.4,89,49.9,11.9,31.4,37.9,15.7,20.9,75.2,10.8,33,43.8,30,12.6,7.1,5.3,5,19,18.8,5
5,Philadelphia 76ers,39,26,13,0.667,48.3,119.9,42.5,89.2,47.6,12.1,32.4,37.3,22.8,27.2,83.7,10.9,32.7,43.6,26,12.4,9.1,6.2,6,20.8,19.9,8.1
7,LA Clippers,40,26,14,0.65,48.1,117.6,43,87.2,49.3,13.3,33.4,39.6,18.4,22.8,80.7,10.5,32.6,43.1,26,13.2,8.1,5.3,4.6,19.8,20,5.6
8,Cleveland Cavaliers,38,23,15,0.605,48.3,113.1,42,88.8,47.2,13,36.8,35.2,16.2,21,77,11.3,33.7,44.9,26,14,7.9,4.5,5.3,19.3,19.5,2.3
9,Miami Heat,40,24,16,0.6,48.1,111.9,39.8,85.3,46.6,12.6,33,38.2,19.8,24.1,82.1,9.4,32.4,41.8,26,13.3,7.5,3.3,5.1,18.6,20.3,1.3
10,Dallas Mavericks,41,24,17,0.585,48,118.7,42.7,90.5,47.2,15.2,41.1,37.1,18,23.7,75.8,10.3,31.6,41.9,25,12.1,6.9,4.5,3.9,18.9,21.5,1.5
10,New Orleans Pelicans,41,24,17,0.585,48.1,116.5,42.6,87.4,48.7,11.9,31.1,38.1,19.5,25.4,76.6,11,33.2,44.1,27,13.3,8.3,4.8,5.2,19.7,19.7,4.5
12,Indiana Pacers,40,23,17,0.575,48,125.6,47,92.6,50.8,14.2,37.1,38.1,17.5,21.9,79.7,10.2,30.6,40.8,31,13.7,8,6.2,5.6,22.6,18.9,2.2
12,New York Knicks,40,23,17,0.575,48,115.1,41.5,89.2,46.5,13.3,35.4,37.4,18.9,24.4,77.6,12.7,33.2,45.8,24,13.6,7.5,3.7,5.3,18.7,20.4,3.8
12,Sacramento Kings,40,23,17,0.575,48.6,118.2,43.6,91.5,47.6,15.1,40.7,37.1,16,21.9,73.1,10.8,33,43.7,29,13.6,6.9,4,5.1,20.3,19.1,0.4
15,Orlando Magic,40,22,18,0.55,48.4,112.2,40.8,87.1,46.8,10.8,31.6,34.2,19.9,26.3,75.4,11.2,32.7,43.9,25,14.8,8.1,5.5,5,21.5,22.3,1
15,Phoenix Suns,40,22,18,0.55,48.4,115.9,41.3,85.5,48.3,11.9,31.7,37.6,21.4,26,82.3,10.5,32.8,43.3,26,14.8,7.3,6.1,5,19,21.5,1.5
17,Utah Jazz,42,22,20,0.524,48.5,116.8,42.3,90.4,46.8,13.2,37.1,35.6,19,23,82.4,12.8,33.9,46.6,28,16.1,7.1,6,6.3,19.6,20,-1.4
18,Los Angeles Lakers,41,20,21,0.488,48.2,114.1,42.3,86.8,48.7,10.9,30.4,35.7,18.7,24.2,77.2,8.3,34.7,43.1,28,14.3,7.7,5.6,4.8,16.8,20.3,-1.4
19,Houston Rockets,39,19,20,0.487,48.4,112.7,41,88.7,46.2,12.2,34,35.8,18.6,23.9,77.9,10.4,34.7,45,25,12.9,7.2,4.2,5.3,21.6,20.3,0.9
20,Chicago Bulls,42,19,23,0.452,48.7,110.1,40.9,89.3,45.8,11.9,33,36,16.4,20.9,78.7,11.2,32.2,43.4,24,12.4,7.8,5,5,19.3,18.8,-2.3
21,Golden State Warriors,40,18,22,0.45,48.4,117.2,42.2,90.6,46.5,14.7,39.9,36.9,18.2,22.9,79.2,12.8,33.3,46.1,28,14.6,6.6,3.7,4.7,20.6,19.5,-1
22,Atlanta Hawks,39,16,23,0.41,48.4,121.3,43.5,93.6,46.5,13.8,38.3,36.2,20.4,25.2,81.1,13.2,31.8,45,26,13.9,8.2,4.7,5.7,19,20.5,-2.1
22,Brooklyn Nets,39,16,23,0.41,48.4,114.1,41.9,91.9,45.6,13.5,37.5,36.1,16.7,22.1,75.9,12.8,33.9,46.8,26,12.7,6.5,5.6,4.9,19.2,18.9,-1.8
24,Memphis Grizzlies,40,15,25,0.375,48.3,108.3,39.1,89.2,43.8,13.5,39.7,34,16.6,21.4,77.6,10.2,32.4,42.6,25,14.5,7.7,6.3,6.6,20.3,19.7,-5
24,Toronto Raptors,40,15,25,0.375,48.3,115,43.3,90,48.1,11.7,33,35.6,16.7,22.6,74,11.2,32.8,44,29,13.3,7.3,4.9,5.2,18.7,18.7,-1.8
26,Portland Trail Blazers,39,10,29,0.256,48.5,107.3,39,90.5,43.1,12.4,35.1,35.5,16.8,21.6,77.9,12.3,29.1,41.4,22,15.3,8.3,4.6,6.3,20.6,18.7,-9.8
27,Charlotte Hornets,37,8,29,0.216,48.3,108.3,40.8,89.5,45.6,11.5,32.4,35.5,15.2,19.2,79.2,10.9,30.4,41.4,25,14,6.6,4.8,5.5,19.4,18.3,-11.8
28,San Antonio Spurs,39,7,32,0.179,48.3,112.2,41.8,91.5,45.6,12.9,37.3,34.6,15.8,20.1,78.6,9.8,33.4,43.2,29,14.8,7.2,5.9,4.4,18.9,18.6,-9.1
28,Washington Wizards,39,7,32,0.179,48,115.5,43.4,90.7,47.8,12.5,35.1,35.6,16.3,21.2,76.7,8.7,31,39.7,28,13.7,7.7,5.4,5.4,19.8,18.7,-9.8
30,Detroit Pistons,40,4,36,0.1,48.3,111.8,42,89.1,47.1,10.6,30.7,34.5,17.3,22.2,77.9,11.4,32.1,43.5,26,16.1,6.2,5.1,6.1,22.4,18.9,-10.8