RANK,TEAM,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,OT,LAST10,STREAK
1,Boston Celtics,32,9,0.78,--,23-6,11-1,20-0,12-9,2-3,7-3,W 3
2,Milwaukee Bucks,28,13,0.683,4,21-11,6-6,19-4,9-9,2-1,5-5,L 1
3,Philadelphia 76ers,26,13,0.667,5,17-10,5-3,16-6,10-7,0-2,6-4,W 3
4,Cleveland Cavaliers,24,15,0.615,7,16-9,5-3,15-8,9-7,2-0,8-2,W 6
5,New York Knicks,24,17,0.585,8,16-10,4-3,12-5,12-12,0-0,7-3,W 1
6,Miami Heat,24,17,0.585,8,18-11,9-0,12-7,12-10,1-0,5-5,L 1
7,Indiana Pacers,23,17,0.575,8.5,20-11,9-2,13-8,10-9,0-0,7-3,L 2
8,Orlando Magic,22,19,0.537,10,16-11,5-4,13-5,9-14,1-1,3-7,L 1
9,Chicago Bulls,19,23,0.452,13.5,12-16,3-6,13-10,6-13,4-2,5-5,L 1
10,Atlanta Hawks,17,23,0.425,14.5,11-19,5-5,8-11,9-12,2-1,5-5,W 2
11,Brooklyn Nets,16,24,0.4,15.5,13-13,1-4,10-10,6-14,0-3,1-9,L 4
12,Toronto Raptors,16,25,0.39,16,10-18,0-10,10-10,6-15,1-1,4-6,W 1
13,Charlotte Hornets,8,30,0.211,22.5,7-18,3-6,4-13,4-17,1-1,1-9,L 6
14,Washington Wizards,7,32,0.179,24,5-26,2-9,3-14,4-18,0-0,2-8,L 1
15,Detroit Pistons,4,37,0.098,28,4-20,1-7,2-18,2-19,0-2,2-8,L 1